"unique_row","study_ID","short_cite","long_cite","peer_reviewed","coder","expt_unique","same_sample","task_type","participant_design","native_language","group_name_1","group_name_2","n_1","n_2","feature","unit","x_1","x_2","SD_1","SD_2","expt_num","expt_condition","n_1_M","n_2_M","n_1_F","n_2_F","mean_age_1","mean_age_2","sd_age_1","sd_age_2","mean_education_1","mean_education_2","sd_education_1","sd_education_2","mean_total_task_duration_1","mean_total_task_duration_2","sd_total_task_duration_1","sd_total_task_duration_2","task_type_specification","native_language_specification","diagnosis_specification","feature_specification","prosody_type","notes","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_sample_calc","all_mod"
"13","Rutter1977","Rutter et al. (1977)","Rutter, D. R. (1977). Speech patterning in recently admitted and chronic long-stay schizophrenic patients. British Journal of Social and Clinical Psychology, 16(1), 47-55.","yes","LNJ, ND","Rutter et al. (1977)","AB","social","between",NA,"SZ","HC",12,12,"speech_rate","words/sec",3.1,2.7,0.6,0.4,NA,"normal_partner condition",6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",0.784464540552736,0.179487179487179,0.75644794981871,0.166895604395604,0.365148371670111,0.0292098765432099,0.382813541744368,0.111111111111111,1.42286128491884,0.590489152201927,"between",NA,12,"Rutter1977 AB",""
"14","Rutter1977","Rutter et al. (1977)","Rutter, D. R. (1977). Speech patterning in recently admitted and chronic long-stay schizophrenic patients. British Journal of Social and Clinical Psychology, 16(1), 47-55.","yes","LNJ, ND","Rutter et al. (1977).1","AB","social","between",NA,"SZ","HC",12,12,"speech_rate","words/sec",3.2,2.8,0.7,0.6,NA,"patient_partner condition",6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",0.613571991077897,0.174509803921569,0.591658705682258,0.162267406962785,0.293294230042707,0.0333094736955523,0.302166748338409,0.111111111111111,1.11289648732901,0.574114242939185,"between",NA,12,"Rutter1977 AB",""
"16","St-Hilaire2008","St-Hilaire et al. (2008)","St-Hilaire, A., Cohen, A. S., & Docherty, N. M. (2008). Emotion word use in the conversational speech of schizophrenia patients. Cognitive neuropsychiatry, 13(4), 343-356.","yes","LNJ, ND","St-Hilaire et al. (2008)","AD","social","between",NA,"SZ","HC",48,48,"speech_rate","words/s",1.69166666666667,2.33166666666667,0.713333333333333,0.685,NA,NA,31,26,17,22,34,37,8.9,6.9,12.3,14.4,1.6,1.7,600,600,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.91518759770322,0.0460290017655718,-0.907807052560452,0.0452895920727976,-0.416098901703268,0.00650534298989686,-0.442964750697653,0.0222222222222222,-1.65996668286914,0.151429346134412,"between",35.5,48,"St-Hilaire2008 AD",""
"17","Docherty2012","Docherty et al. (2012)","Docherty, N. M. (2012). Missing referents, psychotic symptoms, and discriminating the internal from the externalized. Journal of abnormal psychology, 121(2), 416.","yes","LNJ, ND","Docherty et al. (2012)","AF","social","between",NA,"SZ","HC",53,23,"speech_rate","words/s",2.15,2.21333333333333,0.581666666666667,0.431666666666667,NA,NA,32,12,21,11,39.73,38,8.79,9,11.74,15,1.9,2,600,600,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.116974090471303,0.0624362047257723,-0.11577230187057,0.061159859435415,-0.0536601373086824,0.0130633953188316,-0.0537117296560459,0.02,-0.212167530928725,0.205406880316266,"between",39.2064473684211,38,"Docherty2012 AF",""
"20","Salomè2002","Salomè et al. (2002)","Salomé, F., Boyer, P., & Fayol, M. (2002). Written but not oral verbal production is preserved in young schizophrenic patients. Psychiatry research, 111(2-3), 137-145.","yes","LNJ, ND","Salomè et al. (2002)","AL","free","between",NA,"SZ","HC",10,10,"speech_rate","words/s",1.4,1.9,0.5,0.29,NA,NA,9,9,1,1,24.2,21,3.1,1.6,12.9,13.2,0.8,1.1,52.9,34.2,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-1.22333883972977,0.237413947919785,-1.16936800856522,0.216927753019267,-0.521796738396536,0.0228746146810107,-0.578805552450532,0.142857142857143,-2.21889120974488,0.781060581756368,"between",22.6,10,"Salomè2002 AL",""
"23","Martínez2015","Martínez et al. (2015)","Martínez-Sánchez, F., Muela-Martínez, J. A., Cortés-Soto, P., Meilán, J. J. G., Ferrándiz, J. A. V., Caparrós, A. E., & Valverde, I. M. P. (2015). Can the acoustic analysis of expressive prosody discriminate schizophrenia?. The Spanish journal of psychology, 18.","yes","LNJ, ND","Martínez et al. (2015)","D","constrained","between",NA,"SZ","HC",45,35,"speech_percentage","Non-Pause rate % > 300 ms",62.36,71.42,10.69,5.98,NA,NA,32,22,13,13,39.49,35.34,10.89,10.48,10.4,11.6571,NA,3.34262,124.12,83.85,43.15,15.65,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-1.0126141277668,0.0572023218671066,-1.0027510031457,0.0560934178580662,-0.448882734553014,0.00716714191209548,-0.48330020052442,0.0238095238095238,-1.83667886115802,0.188188095884042,"between",37.674375,40,"Martínez2015 D",""
"25","Rapcan2010","Rapcan et al. (2010)","Rapcan, V., D’Arcy, S., Yeap, S., Afzal, N., Thakore, J., & Reilly, R. B. (2010). Acoustic and temporal analysis of speech: A potential biomarker for schizophrenia. Medical engineering & physics, 32(9), 1074-1079.","yes","LNJ, ND","Rapcan et al. (2010)","F","constrained","between",NA,"SZ","HC",39,18,"speech_percentage","(total length of utterenances (s)/total time recording ) * 100",81.0988017182907,84.2943776338781,16.1790639837215,13.0845924555453,NA,NA,27,8,12,10,42.3,40.5,13.5,12.9,NA,NA,NA,NA,222.15,194.58,42.8,30.64,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.209003084093116,0.0815797591716727,-0.206100263480711,0.0793293915864973,-0.0966955549830771,0.0171368309043393,-0.096998625833005,0.0277777777777778,-0.379089661051084,0.268386650053517,"between",41.7315789473684,28.5,"Rapcan2010 F",""
"26","Cannizzaro2005","Cannizzaro et al. (2005)","Cannizzaro, M. S., Cohen, H., Rappard, F., & Snyder, P. J. (2005). Bradyphrenia and bradykinesia both contribute to altered speech in schizophrenia: a quantitative acoustic study. Cognitive and behavioral neurology, 18(4), 206-210.","yes","LNJ, ND","Cannizzaro et al. (2005)","G","constrained","between",NA,"SZ","HC",13,6,"speech_percentage","% non-pause",82.02,80.58,3.18,4.5,NA,"_a_rote_speech_confition",9,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",0.39794728254826,0.247757165686784,0.379293503678811,0.225074319707159,0.181891944015922,0.048392599293941,0.183938675103144,0.1,0.721796528084769,0.815088404287904,"between",NA,9.5,"Cannizzaro2005 G",""
"27","Cannizzaro2005","Cannizzaro et al. (2005)","Cannizzaro, M. S., Cohen, H., Rappard, F., & Snyder, P. J. (2005). Bradyphrenia and bradykinesia both contribute to altered speech in schizophrenia: a quantitative acoustic study. Cognitive and behavioral neurology, 18(4), 206-210.","yes","LNJ, ND","Cannizzaro et al. (2005).1","G","free","between",NA,"SZ","HC",13,6,"speech_percentage","% non-pause",67.46,81.81,11.1,3.89,NA,"_b_free_speech condition",9,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,90,90,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-1.50080972062243,0.302864212471711,-1.43045926496825,0.275136165675595,-0.57215194089248,0.019915334557509,-0.650716246180878,0.1,-2.72216771710149,0.996383321447754,"between",NA,9.5,"Cannizzaro2005 G",""
"28","Alpert2000","Alpert et al. (2000)","Alpert, M., Rosenberg, S. D., Pouget, E. R., & Shaw, R. J. (2000). Prosody and lexical accuracy in flat affect schizophrenia. Psychiatry research, 97(2-3), 107-118.","yes","LNJ, ND","Alpert et al. (2000)","P","social","between",NA,"SZ","HC",46,20,"speech_percentage","% time talking",60.2913043478261,67.3,11.164347826087,7.28,NA,NA,46,20,0,0,40.9869565217391,41.1,9.40130434782609,13.58,12.7086956521739,13.1,2.29130434782609,1.89,300,300,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.689339349547369,0.0753390451229219,-0.681132928719424,0.0735559356365943,-0.302005882719099,0.0119430209548681,-0.311725333106604,0.0232558139534884,-1.25032327395065,0.24785552377302,"between",41.0212121212121,33,"Alpert2000 P",""
"29","Resnick1984","Resnick et al. (1984)","Resnick, H. S., & Oltmanns, T. F. (1984). Hesitation patterns in the speech of thought-disordered schizophrenic and manic patients. Journal of Abnormal Psychology, 93(1), 80.","yes","LNJ, ND","Resnick et al. (1984)","W","social","between",NA,"SZ","HC",10,20,"speech_percentage","% (TOTAL Non-HESITATION DURATION/TOTAL SPEECH DURATION)",82,85.25,6,4.25,NA,NA,6,10,4,10,28,26.2,7.5,3.52,11.4,14,1.9,0.96,240,240,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.665791775651059,0.157387978142077,-0.647297559660752,0.148765642919787,-0.299454523880319,0.0263846475641475,-0.308920287597485,0.142857142857143,-1.20761269938826,0.517785693916531,"between",26.8,15,"Resnick1984 W",""
"30","Mandal1990","Mandal et al. (1990)","Mandal, M. K., Srivastava, P., & Singh, S. K. (1990). Paralinguistic characteristics of speech in schizophrenics and depressives. Journal of psychiatric research, 24(2), 191-196.","yes","LNJ, ND","Mandal et al. (1990)","X","free","between",NA,"SZ","HC",40,60,"speech_percentage","total time subject speaks out time alloted",32.5595238095238,42.8809523809524,3.31547619047619,2.71309523809524,NA,NA,22,33,18,27,27.38,26.1,6.25,7.01,15,20.1,NA,NA,120,120,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-3.47815287016372,0.102154403607807,-3.4512599356006,0.100580803451265,-0.86244642295425,0.000412225985429685,-1.30281634559339,0.027027027027027,-6.30867146461238,0.336074517146091,"between",26.612,50,"Mandal1990 X",""
"31","Rutter1977","Rutter et al. (1977)","Rutter, D. R. (1977). Speech patterning in recently admitted and chronic long-stay schizophrenic patients. British Journal of Social and Clinical Psychology, 16(1), 47-55.","yes","LNJ, ND","Rutter et al. (1977)","AB","social","between",NA,"SZ","HC",12,12,"speech_percentage","% time speaking",42.7,58.1,18.6,10.2,NA,"normal_partner condition",6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-1.02666666666667,0.188625925925926,-0.99,0.175393239795918,-0.456677834917407,0.023377830052447,-0.493105608262381,0.111111111111111,-1.86216734728046,0.620554422892691,"between",NA,12,"Rutter1977 AB",""
"32","Rutter1977","Rutter et al. (1977)","Rutter, D. R. (1977). Speech patterning in recently admitted and chronic long-stay schizophrenic patients. British Journal of Social and Clinical Psychology, 16(1), 47-55.","yes","LNJ, ND","Rutter et al. (1977).1","AB","social","between",NA,"SZ","HC",12,12,"speech_percentage","% time speaking",37.3,49.8,19.1,20.5,NA,"patient_partner condition",6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.630918970314043,0.174959557231294,-0.608386149945684,0.162685608701038,-0.30084519036398,0.0329059607355261,-0.310448643952319,0.111111111111111,-1.14436042723892,0.575593872020876,"between",NA,12,"Rutter1977 AB",""
"34","Rochester1977","Rochester et al. (1977)","Rochester, S. R., Thurston, S., & Rupp, J. (1977). Hesitations as clues to failures in coherence: A study of the thought-disordered speaker. Sentence Production: Developments in theory and research.",NA,"LNJ, ND","Rochester et al. (1977)","AH","social","between",NA,"SZ","HC",40,20,"speech_percentage","Non-hesitation ratios: hesitation ratios were computed by dividing
the total hesitation durations per subject by
total speech duration per subject",78.5,88,11,9.5,NA,NA,NA,NA,NA,NA,25.55,29.9,7.15,10.9,11.55,15,2.6,2.1,180,180,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-0.901997868861312,0.0817800012952529,-0.890129475849978,0.0796420545854913,-0.391301106486878,0.0110383847542394,-0.413335459213052,0.027027027027027,-1.63604316108127,0.269045420234907,"between",27,30,"Rochester1977 AH",""
"35","Kliper2015","Kliper et al. (2015)","Kliper, R., Portuguese, S., & Weinshall, D. (2015, September). Prosodic analysis of speech and the underlying mental state. In International Symposium on Pervasive Computing Paradigms for Mental Health (pp. 52-62). Springer, Cham.",NA,"LNJ, ND","Kliper et al. (2015)","AO","social","between",NA,"SZ","HC",22,20,"speech_percentage","% time speaking",37.16,47.19,2.4,1.98,NA,NA,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",-4.53749080265892,0.340559578599954,-4.45023136414625,0.327587079858905,-0.914885239909326,0.000367781676618623,-1.55670625413269,0.0526315789473684,-8.23009793308136,1.12039610526108,"between",NA,21,"Kliper2015 AO",""
"36","Rapcan2010","Rapcan et al. (2010)","Rapcan, V., D’Arcy, S., Yeap, S., Afzal, N., Thakore, J., & Reilly, R. B. (2010). Acoustic and temporal analysis of speech: A potential biomarker for schizophrenia. Medical engineering & physics, 32(9), 1074-1079.","yes","LNJ, ND","Rapcan et al. (2010)","F","constrained","between",NA,"SZ","HC",39,18,"pause_duration","Mean pause duration (s), > 250 ms",630,570,80,80,NA,NA,27,8,12,10,42.3,40.5,13.5,12.9,NA,NA,NA,NA,222.15,194.58,42.8,30.64,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",0.75,0.086130791722897,0.739583333333333,0.083754884466652,0.329191099318208,0.0131918153207784,0.341920770785408,0.0277777777777778,1.36034952317566,0.283358947019205,"between",41.7315789473684,28.5,"Rapcan2010 F",""
"37","Cannizzaro2005","Cannizzaro et al. (2005)","Cannizzaro, M. S., Cohen, H., Rappard, F., & Snyder, P. J. (2005). Bradyphrenia and bradykinesia both contribute to altered speech in schizophrenia: a quantitative acoustic study. Cognitive and behavioral neurology, 18(4), 206-210.","yes","LNJ, ND","Cannizzaro et al. (2005)","G","constrained","between",NA,"SZ","HC",13,6,"pause_duration","Average pause, s, > 200ms",530,360,50,80,NA,"_a_rote_speech_confition",9,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",2.81499441356232,0.452121152757825,2.68304155042659,0.410728224954069,0.794537089403423,0.00489665889071257,1.08361842240969,0.1,5.10583507764222,1.48741897302807,"between",NA,9.5,"Cannizzaro2005 G",""
"38","Cannizzaro2005","Cannizzaro et al. (2005)","Cannizzaro, M. S., Cohen, H., Rappard, F., & Snyder, P. J. (2005). Bradyphrenia and bradykinesia both contribute to altered speech in schizophrenia: a quantitative acoustic study. Cognitive and behavioral neurology, 18(4), 206-210.","yes","LNJ, ND","Cannizzaro et al. (2005).1","G","free","between",NA,"SZ","HC",13,6,"pause_duration",NA,1200,530,120,170,NA,"_b_free_speech condition",9,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,90,90,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",4.90415544452,0.87650397053751,4.67427315805812,0.796257635344256,0.915762037536732,0.000795956875929012,1.5621125365199,0.1,8.89515402737615,2.88358248172977,"between",NA,9.5,"Cannizzaro2005 G",""
"39","McGilloway2003","McGilloway et al. (2003)","McGilloway, S., Cooper, S. J., & Douglas-Cowie, E. (2003). Can patients with chronic schizophrenia express emotion? A speech analysis. Schizophrenia research, 64(2-3), 189.","yes","LNJ, ND","McGilloway et al. (2003)","I","constrained","between",NA,"SZ","HC",72,40,"pause_duration","Average pause dur (media e iqr) NR",139.95,99.46,231.758024691358,180.77037037037,NA,NA,38,20,34,20,46,46,13.79,13.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voice patterns in schizophrenia: A systematic review and Bayesian meta-analysis","schizophrenia_parola_2020","Schizophrenia",0.188265874731138,0.0390471212084794,0.186970467336199,0.0385116241701908,0.0898441714512654,0.00874955457798274,0.0900870890087098,0.0144927536231884,0.341476523894337,0.128459879776359,"between",46,56,"McGilloway2003 I",""
